,x_emb,y_emb,t,tau,id
0,0.5004974990207361,0.2021055761710877,0,1,0
1,0.5499244853448791,-0.08135793606027023,0,1,1
2,0.5707460636865986,-0.04993405458978335,0,1,2
3,0.4393219812849125,0.26927094752839215,0,0,3
4,0.4443809628975017,0.11178965382322767,0,0,4
5,0.60222535146898,-0.14772072601579736,0,1,5
6,0.47414330070879207,-0.010268065011281812,0,1,6
7,0.4753077760356505,0.16491744657893948,0,0,7
8,0.5413700077964981,-0.12445249343751125,0,1,8
9,0.4502319476823766,0.08389905214225633,0,0,9
10,0.491973831896766,0.20521864911933466,0,0,10
11,0.5324731549853853,0.002938483945616154,0,1,11
12,0.6538155405380662,-0.1533754181169416,0,2,12
13,0.6612118191356352,-0.05350204979414281,0,2,13
14,0.47839200230765744,0.07837680976126632,0,1,14
15,0.6907714870635859,-0.18111187837215795,0,2,15
16,0.7257645195522682,-0.23648646364009807,0,2,16
17,0.6440585900407982,-0.3246801031635902,0,2,17
18,0.4770229168499439,-0.10607180433409354,0,1,18
19,0.6701891566284511,-0.3017084174469649,0,2,19
20,0.718082129544677,-0.3521787833533493,0,2,20
21,0.5411704488009973,0.08632392785635694,0,1,21
22,0.6656560783027661,-0.24926541262972512,0,2,22
23,0.5660748531652504,-0.1452757224048582,0,1,23
24,0.4775381932624108,-0.08553686266231116,0,1,24
25,0.7065302253952388,-0.299728775668733,0,2,25
26,0.5200501927241893,-0.04013547617626811,0,1,26
27,0.45729176963787876,0.17399747073715105,0,1,27
28,0.42586742700951186,0.04247655135824853,0,0,28
29,0.46962521943784274,-0.03114560408590661,0,1,29
30,0.45998505871011597,-0.012888516371318716,0,0,30
31,0.6940771882870854,-0.3470140955848011,0,2,31
32,0.5279475224879192,-0.07542961099140928,0,1,32
33,0.4950502609714616,0.297130761078749,0,0,33
34,0.5760984598223725,0.04131304450324337,0,1,34
35,0.6522119810144041,-0.10366977153023282,0,2,35
36,0.48141808779277995,0.0826149733865693,0,0,36
37,0.5040128298200871,0.08949242003433419,0,1,37
38,0.510039356454297,0.05942468450900653,0,0,38
39,0.7045472203776628,-0.37732678252037405,0,2,39
40,0.5693858827052949,0.10742375834223268,0,1,40
41,0.652757675439295,-0.28840288256541896,0,2,41
42,0.46720214004384125,-0.06538285569957893,0,0,42
43,0.4947822244572785,0.10829611924614155,0,1,43
44,0.5164960066905484,0.1592556046491739,0,0,44
45,0.5230544560799133,0.1600652488931448,0,0,45
46,0.5137735887402394,0.07269196550319744,0,1,46
47,0.6549906653816259,-0.18516848392945062,0,2,47
48,0.5348564494650923,0.3011737836868077,0,0,48
49,0.6411008722199636,-0.38274487220335157,0,2,49
50,0.6460010748097111,-0.21043680104085266,0,2,50
51,0.46621995709009634,0.036884916092749576,0,0,51
52,0.5261951059845903,-0.10771693136821524,0,1,52
53,0.6748048945345012,-0.2053516993871373,0,2,53
54,0.4936981290411773,-0.0033474310356312043,0,1,54
55,0.7006169353504753,-0.1264104104580062,0,2,55
56,0.5451720971016798,-0.25456282087286847,0,1,56
57,0.4514434466848771,0.11810595013474712,0,0,57
58,0.7602362746524955,-0.08155982467035254,0,2,58
59,0.5080898853210938,-0.2296655577100524,0,1,59
60,0.7488495174195804,-0.018672361780657343,0,2,60
61,0.5250767356191487,0.04115844839404454,0,1,61
62,0.4090718502950884,0.17510487319478307,0,0,62
63,0.6966621736387171,-0.18304472937829366,0,2,63
64,0.45403751529498415,0.15853900584416133,0,0,64
65,0.5511704353514151,-0.06225563440616034,0,1,65
66,0.7185544014538959,-0.21143371696646476,0,2,66
67,0.42380764900744866,0.05553376803383262,0,0,67
68,0.5163581815366788,-0.11215474823581616,0,1,68
69,0.512484845659378,-0.09688221388867511,0,1,69
70,0.5517474050958167,0.25711029914793515,0,0,70
71,0.676125869233432,-0.32285066250096456,0,2,71
72,0.5581779383837726,0.2139656591526004,0,0,72
73,0.5541614669827806,0.20570589311241946,0,0,73
74,0.42160154086023194,0.017909652017844713,0,0,74
