,x,y,id,t,tau
0,-0.23496353662413869,0.6253132040846696,0,1,0
1,0.0200936694428395,-0.35083188239222524,1,1,2
2,-0.39730184324349604,0.9495071590379937,2,1,0
3,0.19172367206956262,0.2910431489414527,3,1,2
4,-0.3727308522522962,0.8387519266700135,4,1,0
5,-0.0856077046715013,-0.07612774047603399,5,1,2
6,0.5005484750596395,0.14835562534520744,6,1,2
7,0.6839471768827966,0.181595162560003,7,1,2
8,0.9063304795215926,-0.009917457257527839,8,1,0
9,0.7505412932747694,0.2279909129995427,9,1,1
10,-0.5519637623076799,-0.4058989629097401,10,1,1
11,-0.7301214027871462,0.3903960804506794,11,1,0
12,0.20141421643974391,0.36350893039157023,12,1,2
13,-0.3105493903526218,0.14754595972555265,13,1,2
14,-0.573950898446896,0.7918001524493098,14,1,0
15,0.715377396785347,0.05905999522911562,15,1,0
16,-0.2696391491533011,-0.4830756774819454,16,1,1
17,-0.03947279450825815,0.30251256703051493,17,1,2
18,0.6523175964240927,-0.3275273109559484,18,1,0
19,-0.5089628377514067,0.11548618292359024,19,1,2
20,0.1443171189103343,-0.44472196165799927,20,1,1
21,-0.30632921256782675,0.31371679255328494,21,1,2
22,0.3265873298742513,-0.5607603240313452,22,1,1
23,-0.7547191912823618,0.09417348119612601,23,1,1
24,0.45378248752677286,0.2434465879403415,24,1,1
25,0.5102996567105772,0.7347338999391582,25,1,0
26,-0.2952814221811954,-0.2565530285249988,26,1,1
27,0.861388269399074,-0.30968539791065,27,1,0
28,-0.15926655523176406,0.5396669439123393,28,1,2
29,-0.5046884196322835,-0.24328682139347763,29,1,1
30,0.09966959581017247,0.5536564103639807,30,1,1
31,-0.4783264273569278,-0.4325118519839876,31,1,1
32,-0.4000754521465096,-0.1573962115218465,32,1,1
33,-0.5230966756684261,-0.319467185681009,33,1,1
34,-0.3950387124235754,-0.5247669624243678,34,1,1
35,-0.13899234541929575,-0.509645017647051,35,1,1
36,-0.33615211419164126,0.23892540546857174,36,1,2
37,-0.07197237579377469,-0.6989404201260866,37,1,0
38,-0.8784471890958316,-0.4344489597965789,38,1,0
39,0.15003696451725418,-0.08519051219821186,39,1,2
